code,name,price,category,brand,DauVao,Phan Giai,LED,SanXuat,Trong luong,Thoi gian dung sac,pin,rating,img
164659000000, Chuột,2490000, Chuột, Apple ,Bluetooth,1500 DPI,Không có,Mỹ,Lightning,Dùng 2 tháng - Sạc 2 giờ,Pin sạc,5,//cdn.tgdd.vn/Products/Images/86/251787/chuot-bluetooth-apple-mk2e3-trang-3.jpg
160010000000, Chuột,550000, Chuột, Asus ,Dây dài 184 cm,Dây cắm USB,ROG Armoury II,,Asus. Xem thông tin hãng,Trung Quốc,Đài Loan,4.8,//cdn.tgdd.vn/mwgcart/mwgcore/ContentMwg/images/bg_csmh_tgdd-min.png?v=11
160010000000, Chuột,200000, Chuột, Rapoo ,Đầu thu USB Receiver,1000 DPI,Không có,Trung Quốc,80 g,Dùng Không có - Sạc Không có,1 viên pin AA,2.8,//cdn.tgdd.vn/mwgcart/mwgcore/ContentMwg/images/bg_csmh_tgdd-min.png?v=11
160010000000, Chuột,200000, Chuột, Rapoo ,Đầu thu USB Receiver,1000 DPI,Không có,Rapoo. Xem thông tin hãng,Trung Quốc,61 g,Đang cập nhật,3.7,//cdn.tgdd.vn/Products/Images/86/256042/chuot-khong-day-rapoo-m20-plus-4.jpg
160010000000, Chuột,200000, Chuột, Rapoo ,Đầu thu USB Receiver,1000 DPI,Không có,Rapoo. Xem thông tin hãng,Trung Quốc,55 g,Đang cập nhật,3.8,//cdn.tgdd.vn/Products/Images/86/252625/chuot-khong-day-rapoo-m216-den-3-1.jpg
160010000000, Chuột,220000, Chuột, Rapoo ,Bluetooth,1300 DPI,Không có,,Trung Quốc,Trung Quốc,54.7 g,3.8,//cdn.tgdd.vn/Products/Images/86/246197/chuot-khong-day-bluetooth-rapoo-m160-den-5-1.jpg
160010000000, Chuột,100000, Chuột, Rapoo ,Dây cắm USB,1000 DPI,Không có,,Trung Quốc,Trung Quốc,85 g,3.5,//cdn.tgdd.vn/Products/Images/86/235979/chuot-co-day-silent-rapoo-n1200-den-3-org.jpg
160010000000, Chuột,100000, Chuột, Rapoo ,Dây cắm USB,1600 DPI,Không có,,Trung Quốc,Trung Quốc,70 g,3.7,//cdn.tgdd.vn/Products/Images/86/235682/chuot-co-day-rapoo-n200-den-4-1-org.jpg
160010000000, Chuột,450000, Chuột, Corsair ,Dây cắm USB,12000 DPI,RGB,,Trung Quốc,Mỹ,85g,4.8,https://cdn.tgdd.vn/comment/50907163/20220311_2144199YXE1.jpg
160010000000, Chuột,599000, Chuột, Logitech ,Dây cắm USB,8000 DPI,RGB 16.8 triệu màu,,Trung Quốc,Thụy Sĩ,85 g,4.3,//cdn.tgdd.vn/Products/Images/86/234490/chuot-gaming-logitech-g102-gen2-lightsync-trang-3-org.jpg
160010000000, Chuột,200000, Chuột, Genius ,Đầu thu USB Receiver,1200 DPI,Không có,Trung Quốc,80 g,Dùng Không có - Sạc Không có,1 viên pin AA,3.6,//cdn.tgdd.vn/Products/Images/86/231243/chuot-khong-day-genius-nx-7005-den-3-1-org.jpg
160010000000, Chuột,190000, Chuột, Zadez ,Dây cắm USB,2400 DPI,RGB,,Zadez. Xem thông tin hãng,Trung Quốc,Trung Quốc,4.1,https://cdn.tgdd.vn/comment/48366770/C2007353-7447-44D2-9330-95010CA483D71N67J.jpeg
2003120000000, Chuột,200000, Chuột, Genius ,Đầu thu USB Receiver,1200 DPI,Không có,Trung Quốc,79g,Dùng Không có - Sạc Không có,1 viên pin AA,4.5,https://cdn.tgdd.vn/comment/48274739/16322374061778145074039327246358MT6LO.jpg
160010000000, Chuột,289000, Chuột, Logitech ,Đầu thu USB Receiver,1000 DPI,Không có,Trung Quốc,89.9 g,Dùng Không có - Sạc Không có,1 viên pin AA,4.2,https://cdn.tgdd.vn/comment/50396966/z3140101072465_3ae73dcae4dcaf6d26fb71faffbd4030SK001.jpg
160010000000, Chuột,250000, Chuột, Logitech ,Đầu thu USB Receiver,1000 DPI,Không có,Trung Quốc,75.2 g,Dùng Không có - Sạc Không có,1 viên pin AA,4.1,https://cdn.tgdd.vn/comment/49405858/20211108_173419-20211113140544.jpg
160010000000, Chuột,699000, Chuột, Microsoft ,Bluetooth,400 - 1800 DPI,Không có,Microsoft. Xem thông tin hãng,Mỹ,84 g,1 viên pin AA,0,//cdn.tgdd.vn/Products/Images/86/268634/chuot-bluetooth-microsoft-ocean-plastic-xam-trang-4-1.jpg
160010000000, Chuột,300000, Chuột, A4Tech ,Đầu thu USB Receiver,600/1000/1600 DPI,Không có,,Trung Quốc,Trung Quốc,62 g,0,//cdn.tgdd.vn/Products/Images/86/271834/chuot-khong-day-a4tech-fg20-xam-3-5.jpg
160010000000, Chuột,200000, Chuột, A4Tech ,Đầu thu USB Receiver,1000 DPI,Không có,,Trung Quốc,Trung Quốc,85 g,0,//cdn.tgdd.vn/Products/Images/86/271832/chuot-khong-day-a4tech-g3-280n-den-do-4-1.jpg
160010000000, Chuột,399000, Chuột, DareU ,Dây cắm USB,6400 DPI,RGB,,DareU. Xem thông tin hãng,Trung Quốc,Trung Quốc,0,//cdn.tgdd.vn/Products/Images/86/272898/chuot-co-day-dareu-em908-4.jpg
160010000000, Chuột,799000, Chuột, DareU ,Dây cắm USB,800 - 18000 DPI,RGB,,DareU. Xem thông tin hãng,Trung Quốc,Trung Quốc,0,//cdn.tgdd.vn/Products/Images/86/272997/chuot-co-day-dareu-a960-4.jpg
